,Date,Route,Operator,Aircraft Type,All Aboard,Passengers Aboard,Crew Aboard,Total Fatalities,Passenger Fatalities,Crew Fatalities,Year,Month,Season
0,"September 17, 1908","Fort Myer, Virginia",Military - U.S. Army,Wright Flyer III,2,1,1,1,1,0,1908,September,Autumn
2,"July 12, 1912","Atlantic City, New Jersey",Military - U.S. Navy,Dirigible,5,0,5,5,0,5,1912,July,Summer
3,"August 06, 1913","Victoria, British Columbia, Canada",Private,Curtiss seaplane,1,0,1,1,0,1,1913,August,Summer
6,"March 05, 1915","Tienen, Belgium",Military - German Navy,Zeppelin L-8 (airship),41,0,41,17,0,17,1915,March,Spring
10,"October 01, 1916","Potters Bar, England",Military - German Navy,Zeppelin L-31 (airship),19,0,19,19,0,19,1916,October,Autumn
23,"December 16, 1918","Elizabeth, New Jersey",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1,1918,December,Winter
24,"May 25, 1919","Cleveland, Ohio",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1,1919,May,Spring
25,"July 19, 1919","Dix Run, Pennsylvania",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1,1919,July,Summer
27,"August 02, 1919","Verona, Italy",Caproni Company,Caproni Ca.48,14,12,2,14,12,2,1919,August,Summer
28,"October 02, 1919","Newcastle, England",Aircraft Transport and Travel,De Havilland DH-4,1,0,1,1,0,1,1919,October,Autumn
29,"October 14, 1919","Cantonsville, Maryland",US Aerial Mail Service,Curtiss R-4LM,1,0,1,1,0,1,1919,October,Autumn
30,"October 20, 1919","English Channel off Forkstone, Kent",Aircraft Transport and Travel,De Havilland DH-4,0,0,1,0,0,0,1919,October,Autumn
31,"October 30, 1919","Long Valley, New Jersey",US Aerial Mail Service,De Havilland DH.4,1,0,1,1,0,1,1919,October,Autumn
32,"December 11, 1919","Catherham, Surrey, UK",Aircraft Travel Transport,de Havilland DH-4,1,1,1,1,1,1,1919,December,Winter
33,"March 10, 1920","New Paris, Indiana",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1,1920,March,Spring
34,"March 30, 1920","Newark, New Jersey",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1,1920,March,Spring
35,"April 10, 1920","Newark, New Jersey",US Aerial Mail Service,Curtiss R-4LM,2,1,1,1,0,1,1920,April,Spring
36,"April 11, 1920","Heller Field, New Jersey",US Aerial Mail Service,Curtiss JN-4H,2,1,1,1,0,1,1920,April,Spring
37,"May 12, 1920","Oskaloosa, Iowa",US Aerial Mail Service,De Havilland DH-4,2,1,1,1,1,0,1920,May,Spring
38,"June 06, 1920","Cleveland, Ohio",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1,1920,June,Summer
39,"July 20, 1920","Cartagena, Columbia",Compañia Colombiana de Navegación Aérea,Farman F-40,1,1,1,1,1,1,1920,July,Summer
40,"August 16, 1920","Bedford, England",By Air,Armstrong-Whitworth F-K-8,1,0,1,1,0,1,1920,August,Summer
41,"August 16, 1920","College Park, Maryland",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1,1920,August,Summer
42,"September 01, 1920","Morristown, New Jersey",US Aerial Mail Service,Junkers JL-6,2,0,2,2,0,2,1920,September,Autumn
44,"September 27, 1920","Hillersburg, Pennsylvania",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1,1920,September,Autumn
45,"October 02, 1920","Off Port Vendres, France",Latecoere Airlines,Salmson 2-A-2,2,1,1,2,1,1,1920,October,Autumn
46,"October 05, 1920","Valencia, Spain",Latecoere Airlines,Breguet 14,2,1,1,2,1,1,1920,October,Autumn
47,"October 15, 1920","Batavia, Illinois",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1,1920,October,Autumn
48,"November 07, 1920","Tie Siding, Wyoming",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1,1920,November,Autumn
49,"December 14, 1920","London, England",Handley Page Transport,Handley Page HP-16,8,6,2,4,2,2,1920,December,Winter
50,"December 24, 1920","Barcelona, Spain",Aeropostale,Breguet 14,1,0,1,1,0,1,1920,December,Winter
51,"February 03, 1921","Mendotta, Minnisota",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1,1921,February,Winter
52,"February 09, 1921","La Crosse, Wisconsin",US Aerial Mail Service,Junkers F-13,3,0,3,3,0,3,1921,February,Winter
53,"February 15, 1921",Off Gibraltar,Aeropostale,Breguet 14,2,0,2,2,0,2,1921,February,Winter
54,"February 22, 1921","Elko, Nevada",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1,1921,February,Winter
55,"April 06, 1921","Point Cook, Australia",Military - Royal Australian Air Force,Avro 504,2,0,0,2,0,0,1921,April,Spring
56,"April 21, 1921","Mitchel Field, NY",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1,1921,April,Spring
57,"April 29, 1921","Cleveland, Ohio",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1,1921,April,Spring
58,"May 17, 1921","Rock Springs, Wyoming",US Aerial Mail Service,"De Havilland DH-4De Havilland DH-4",1,0,1,1,0,1,1921,May,Spring
60,"August 24, 1921","River Humber, England",Military - Royal Airship Works,Royal Airship Works ZR-2 (airship),49,0,49,43,0,43,1921,August,Summer
61,"September 06, 1921","Paris, France",Franco-Roumaine,Potez IX,5,4,1,5,4,1,1921,September,Autumn
62,"December 05, 1921","Near Murchinson River, Australia",West Australian Airways,Bristol 28 Tourer,2,0,2,2,0,2,1921,December,Winter
63,"January 14, 1922","Paris, France",Handley Page Transport,Handley Page O/10,5,4,1,5,4,1,1922,January,Winter
65,"March 22, 1922",North Atlantic Ocean,Aero Limited,Aeromarine Model 85 (flying boat),6,5,1,5,5,0,1922,March,Spring
66,"April 07, 1922","Grandvilliers, France",Daimler Airways / Grands Express Aeriens,de Havilland DH-18 / Farman F-60 Goliath,7,5,2,7,5,2,1922,April,Spring
68,"June 03, 1922","Off Folkestone, Kent, England",Cie des Messageries Aeriennes,Bleriot Spad 27,3,2,1,3,2,1,1922,June,Summer
70,"July 16, 1922","Near Saverne, Lorraine, France",Compagnie Franco-Roumaine de Navigaation Aerienne,Potez 29,5,4,1,5,4,1,1922,July,Summer
71,"July 26, 1922","Cadix, Spain",Grands Express Aeriens,Breguet 14,3,2,1,3,2,1,1922,July,Summer
72,"September 07, 1922","Indianapolis, Indiana",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1,1922,September,Autumn
73,"October 02, 1922","Venice, Italy",de Havilland Air Service,de Havilland DH-9,4,3,1,4,3,1,1922,October,Autumn
74,"October 25, 1922","Larache, Morocco",Grands Express Aeriens,Breguet 14,2,1,1,2,1,1,1922,October,Autumn
75,"December 03, 1922","Fez, Morocco",Grands Express Aeriens,Breguet 14,1,0,1,1,0,1,1922,December,Winter
76,"January 10, 1923","Ajaccio, France",Amee de l'Air,Lioré-et-Olivier H-13,4,2,2,3,1,2,1923,January,Winter
77,"January 17, 1923","Barcelona, Spain",Grands Express Aeriens,Breguet 14,1,0,1,1,0,1,1923,January,Winter
78,"January 18, 1923","Cheyenne, Wyoming",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1,1923,January,Winter
79,"February 26, 1923","Meadville, Pennsylvania",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1,1923,February,Winter
80,"May 14, 1923","Near Amiens, Picrdie, France",Grands Express Aeriens (Air Union),Farman F-60 Goliath,6,4,2,6,4,2,1923,May,Spring
81,"August 27, 1923","East Mallling, United Kingdom",Air Union,Farman F.60 Goliath,11,9,2,1,1,0,1923,August,Summer
82,"August 27, 1923","Bucharest, Romania",Campagnie France Roumaine,Blériot Spad 46,2,1,1,2,1,1,1923,August,Summer
83,"September 07, 1923","Colton, Ohio",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1,1923,September,Autumn
84,"September 14, 1923","Near Ivinghoe, Buckinghamshire, England",Daimler Airways,de Havilland DH-34,5,3,2,5,3,2,1923,September,Autumn
85,"November 18, 1923",Russia,CCCP,Junkers F-13,5,2,3,3,1,2,1923,November,Autumn
86,"December 06, 1923","Castalia, Ohio",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1,1923,December,Winter
88,"December 24, 1923","Egbert, WY",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1,1923,December,Winter
